geometry,zip,puma,FIPS,tract2010,NCES_ID,ec_high_own_ses_hs,ec_high_parent_ses_hs,volunteering_rate_hs,exposure_parent_ses_hs,exposure_own_ses_hs,ec_own_ses_hs,ec_parent_ses_hs,black,white,hispanic,civic_organizations_zip,frac_coll_plus2016,nonwhite_share2010
"c(-122.3143, 47.3272)",98003,11612,53,53033030202,530282000435,1.48159,0.80782002,0.041030001,0.74180001,1.33666,1.31753,0.73710001,0.089,0.612,0.071,0.01438,0.235,0.4934
"c(-122.2791, 47.3444)",98001,11614,53,53033029802,530282000451,1.58665,0.93660003,0.05311,0.87976003,1.43117,1.38012,0.83313,0.052,0.663,0.091,0.0078800004,0.2442,0.3763
"c(-122.3148, 47.2776)",98003,11612,53,53033030304,530282003154,1.55357,0.99953002,0.05077,0.92964,1.41821,1.4475501,0.93278998,0.089,0.612,0.071,0.01438,0.2884,0.3746
"c(-122.592918, 48.85176)",98248,10100,53,53073010502,530285000460,1.3224699,1.1597,0.092469998,1.03371,1.01899,0.96219999,1.03745,0.004,0.832,0.042,0.01613,0.2337,0.2179
"c(-122.3532, 47.2384)",98424,11505,53,53053940003,530288000465,1.4633501,1.20402,0.0515,1.1093301,1.26511,1.27621,1.16317,0.03,0.786,0.034,0.0089699998,0.2554,0.5492
"c(-119.0372, 46.1551)",99337,10702,53,53005011501,530291000469,1.12606,1.16731,0.038690001,1.06806,0.90763003,0.97727001,1.05729,0.004,0.805,0.116,0.00459,0.0903,0.2366
"c(-122.4066, 47.1568)",98445,11504,53,53053071602,530294000475,1.26132,1.11957,0.046080001,1.03944,1.01443,1.03264,1.0627199,0.101,0.606,0.075,0.0060899998,0.1409,0.4914
"c(-122.4553, 47.144)",98444,11504,53,53053071504,530294000483,1.14338,0.96653998,0.044119999,0.86137998,0.9479,0.93019003,0.89512998,0.101,0.606,0.075,0.0081099998,0.1372,0.3066
"c(-117.1964, 47.5197)",99036,10504,53,53063013300,530297000485,1.35429,1.31973,0.050700001,1.2668999,1.1318099,1.14375,1.27785,0.006,0.879,0.031,0.0078681838,0.3502,0.053900000000000003
"c(-120.8139, 45.8153)",98620,11000,53,53039950100,530309000490,1.16803,0.75184,0.047660001,0.67197001,0.90259999,0.93551999,0.69189,0.002,0.874,0.03,0.031239999,0.2091,0.1381
"c(-119.924271, 46.253266)",98930,10902,53,53077001902,530315000499,0.95367998,0.80032003,0.032299999,0.61017001,0.63134998,0.61965001,0.64336997,0,0.571,0.324,0.0050900001,0.0935,0.7932
"c(-121.987418, 48.087666)",98252,11705,53,53061053604,530321000506,1.4376,1.12182,0.064690001,1.06417,1.31945,1.3298,1.07752,0.004,0.88,0.039,0.01227,0.203,0.1403
"c(-122.345521, 47.4997)",98146,11611,53,53033026802,530354000526,1.38535,0.51023,0.043389998,0.48484001,1.23338,1.2560500000000001,0.41986001,0.108,0.571,0.11,0.00801,0.1472,0.6494
"c(-122.330345, 47.46638)",98148,11611,53,53033028000,530354000531,1.46076,0.76060998,0.04611,0.66178,1.28904,1.2777801,0.69126999,0.108,0.571,0.11,0.0089499997,0.1038,0.5963
"c(-122.3077, 47.3998)",98198,11612,53,53033028902,530354000538,1.61485,1.00916,0.049460001,0.91223001,1.48785,1.45622,0.90157998,0.089,0.612,0.071,0.01243,0.145,0.6468
"c(-122.277391, 47.43554)",98188,11611,53,53033028403,530354000555,1.41671,0.55012,0.032779999,0.49228999,1.2437201,1.29661,0.49348,0.108,0.571,0.11,0.019099999,0.1312,0.5509
"c(-122.4998, 45.7364)",98606,11104,53,53011040710,530357002938,1.6054,1.5097899,0.094920002,1.47045,1.50061,1.5075901,1.43404,0.002,0.906,0.015,0.020099999,0.2297,0.1114
"c(-123.9109, 46.9836)",98550,11300,53,53027001500,530366000564,0.96661001,0.87743002,0.06436,0.76775002,0.64813,0.59219998,0.79347003,0.002,0.835,0.038,0.022840001,0.1418,0.1733
"c(-122.027799, 47.522573)",98027,11609,53,53033032104,530375000574,1.8441499,1.53329,0.066200003,1.4874099,1.77223,1.75174,1.50585,0.007,0.634,0.024,0.018510001,0.4671,0.1865
"c(-122.1176, 47.4798)",98059,11615,53,53033031903,530375000576,1.742,1.23256,0.059700001,1.2102799,1.64915,1.64346,1.2056201,0.014,0.819,0.046,0.0044399998,0.3609,0.2213
"c(-122.032, 47.6001)",98075,11609,53,53033032214,530375002567,1.8871,1.6630501,0.072559997,1.63278,1.83498,1.8489799,1.65303,0.007,0.634,0.024,0.01047,0.756,0.4232
"c(-122.839368, 46.008516)",98625,11200,53,53015001600,530381000585,1.2476799,1.2293,0.087119997,1.14903,1.07295,1.08336,1.2001801,0.007,0.858,0.031,0.016450001,0.1642,0.0875
"c(-119.188111, 46.217005)",99336,10702,53,53005010901,530393000604,1.5665801,1.55825,0.0581,1.47677,1.34041,1.28309,1.45542,0.004,0.805,0.116,0.01501,0.1534,0.3429
"c(-119.126608, 46.206211)",99336,10702,53,53005011200,530393000605,1.32056,1.18845,0.05319,1.03418,1.01448,0.93654001,1.01545,0.004,0.805,0.116,0.01501,0.0799,0.6381
"c(-122.2073, 47.3737)",98030,11613,53,53033029503,530396000621,1.37278,0.64614999,0.051120002,0.57920998,1.22306,1.21372,0.58204001,0.064,0.566,0.099,0.00611,0.1526,0.6146
"c(-122.174, 47.4168)",98031,11613,53,53033029307,530396000622,1.69032,1.07816,0.058230001,1.00243,1.5720299,1.54965,1.02888,0.064,0.566,0.099,0.0035600001,0.3564,0.334
"c(-122.1198, 47.3703)",98042,11615,53,53033031706,530396001840,1.63864,1.07947,0.054559998,1.00015,1.49775,1.49301,1.01302,0.014,0.819,0.046,0.00825,0.2713,0.3165
"c(-122.0573, 47.3314)",98042,11615,53,53033031601,530396002570,1.59474,1.08666,0.053339999,0.99866998,1.43257,1.43329,1.00416,0.014,0.819,0.046,0.00825,0.3502,0.1547
"c(-118.0589, 48.6002)",99141,10400,53,53065950100,530399001967,1.00112,0.86931002,0.05531,0.78697997,0.72421002,0.76687998,0.83998001,0,0.795,0.033,0.034200002,0.1773,0.0915
"c(-119.495328, 46.275259)",99320,10703,53,53005011900,530402000639,1.13772,1.03677,0.064180002,0.99444002,0.94345999,0.94238001,0.99602997,0.009,0.842,0.095,0.01308,0.1774,0.2815
"c(-122.489791, 48.395583)",98257,10200,53,53057952100,530411000646,1.4465899,1.1339099,0.080490001,1.14907,1.15861,1.07772,1.11409,0.005,0.892,0.029,0.034290001,0.2806,0.1891
"c(-122.6568, 45.8653)",98629,11104,53,53011040201,530417001049,1.37147,1.38845,0.056880001,1.35118,1.19036,1.1625299,1.3465101,0.002,0.906,0.015,0.0108,0.2111,0.0984
"c(-122.080377, 48.023224)",98258,11705,53,53061052605,530420000653,1.5518301,1.30301,0.050650001,1.25588,1.4411401,1.45275,1.25573,0.004,0.88,0.039,0.0066900002,0.1877,0.1258
"c(-122.1988, 47.7152)",98034,11607,53,53033022005,530423000670,1.75196,1.33594,0.0568,1.28192,1.66466,1.62288,1.28406,0.017,0.664,0.025,0.00142,0.5633,0.3475
"c(-122.181218, 47.672578)",98033,11607,53,53033022604,530423000674,1.80897,1.44654,0.066140004,1.40253,1.72815,1.7225699,1.40965,0.017,0.664,0.025,0.021509999,0.5697,0.267
"c(-122.1066, 47.6952)",98052,11607,53,53033032323,530423000679,1.84088,1.5574501,0.062380001,1.52817,1.77025,1.75314,1.52835,0.017,0.664,0.025,0.01359,0.7026,0.2927
