NCES_ID,longitude,latitude
010027000057,-87.5998,30.4198
010027000058,-87.6243,30.5673
010027000059,-87.881755,30.495443
010027000060,-87.688472,30.407235
010027000062,-87.622619,31.00521
010027000065,-87.6863,30.6194
010027000066,-87.753727,30.543328
010027000067,-87.904953,30.674955
010027000068,-87.7902,30.7424
010027000069,-87.695046,30.488992
010027000070,-87.728368,30.316295
010027000100,-87.8836,30.498068
010027000162,-87.727747,30.582716
010027000549,-87.557752,30.297043
010027000550,-87.8478,30.6777
010027000625,-87.584406,30.412994
010027000648,-87.7436,30.4198
010027000660,-87.8569,30.4737
010027000664,-87.7837,30.8656
010027000665,-87.6962,30.5495
010027001708,-87.7747,30.8904
010027001709,-87.9043,30.613
010027001710,-87.876402,30.526382
010027001711,-87.901665,30.5305
010027001712,-87.690853,30.409549
010027001713,-87.694176,30.385694
010027001714,-87.7586,30.6144
010027001715,-87.7497,30.8654
010027001716,-87.696915,30.55215
010027001759,-87.8641,30.6388
010027001783,-87.8491,30.7901
010027001784,-87.6893,30.3817
010027001810,-87.794,30.8937
010027001859,-87.7807,30.8938
010027001888,-87.853961,30.71514
010027002072,-87.8699,30.6141
010027002073,-87.8541,30.6887
010027002180,-87.698735,30.552507
010027002443,-87.899726,30.584455
010027002483,-87.618274,30.28955
010027002490,-87.5998,30.4198
010027002492,-87.829107,30.60316
010027002493,-87.899726,30.584455
010027002544,-87.80498,30.678458
010030000074,-85.44613,31.868278
010030001478,-85.461165,31.881958
010030001641,-85.55456,31.7804
010033000082,-86.9333,33.3341
010033000084,-86.941,33.4097
010033000086,-86.985203,33.368618
010033000087,-86.999217,33.370885
010033000088,-86.9587,33.3785
010033000090,-86.9805,33.3787
010033001264,-86.9582,33.4023
010033001267,-86.999217,33.370885
010033001479,-86.9603,33.4126
010036000092,-87.1426,32.9472
010036000094,-87.115079,32.943214
010036000095,-87.162241,32.942416
010036000096,-86.9061,32.9012
010036000098,-87.1254,33.1146
010036000099,-87.1284,33.1131
010036000669,-87.136,33.0518
010036001426,-87.1313,33.1127
010036001480,-87.1377,33.2098
010039000079,-86.808778,33.519899
010039000103,-86.7712,33.5169
010039000106,-86.7281,33.5599
010039000107,-86.899272,33.485536
010039000112,-86.8859,33.4842
010039000113,-86.6903,33.5805
010039000119,-86.8132,33.4947
010039000127,-86.731934999999993,33.536846
010039000133,-86.8971,33.4707
010039000136,-86.8519,33.4931
010039000139,-86.805707,33.556521
010039000140,-86.6928,33.595
010039000141,-86.683271,33.611201
010039000142,-86.780651,33.5639
010039000156,-86.882528,33.504757
