,geometry,zip,puma,FIPS,tract2010,NCES_ID,ec_high_own_ses_hs,ec_high_parent_ses_hs,volunteering_rate_hs,exposure_parent_ses_hs,exposure_own_ses_hs,ec_own_ses_hs,ec_parent_ses_hs,black,white,hispanic,civic_organizations_zip,frac_coll_plus2016,nonwhite_share2010,SAT_Total,SAT_Math,SAT_ERW
709,"c(-118.8702, 34.2116)",91360,11102.0,6,6111006600.0,60964001024,1.79673,1.65057,0.065690003,1.57082,1.66896,1.6201299,1.54967,0.017,0.773,0.076,0.01014,0.4195,0.2105,1196.605164346868,589.1681975583015,590.1285765701015
710,"c(-118.8161, 34.161)",91362,11102.0,6,6111007402.0,60964001031,1.85402,1.73068,0.061519999,1.66172,1.76011,1.7357399,1.59916,0.017,0.773,0.076,0.03726,0.6191,0.1643,1215.8097349705986,592.5106604682117,614.2640486609553
711,"c(-119.568, 36.0973)",93212,3100.0,6,6031001500.0,60969001035,0.88047999,0.85639,0.01467,0.70646,0.57280999,0.56353998,0.71302998,0.05,0.517,0.305,0.00346,0.0294,0.8116,952.7678772052745,477.31147488849336,478.5895901851716
712,"c(-122.172679, 39.934597)",96021,1100.0,6,6103001000.0,60981001044,0.86277997,0.90305001,0.044629999,0.77054,0.58727998,0.58306003,0.75915998,0.002,0.827,0.091,0.0076100002,0.128,0.3987,995.093349875791,508.4716868183538,500.420356059582
713,"c(-117.586603, 33.872468)",92882,6513.0,6,6065041805.0,60985001049,1.42287,1.3041101,0.037020002,1.10803,1.09717,0.97636998,1.00205,0.037,0.531,0.298,0.01668,0.3377,0.6051,1042.7046065687791,516.6039836973416,524.804449459895
714,"c(-117.546975, 33.912156)",92860,6513.0,6,6065040813.0,60985001061,1.4220999,1.3495899,0.036350001,1.2648799,1.19434,1.16282,1.24392,0.037,0.531,0.298,0.022770001,0.2287,0.4424,1064.8286807463387,522.3802072469693,534.5155433476565
715,"c(-117.54643, 33.83556)",92881,6512.0,6,6065047900.0,60985004959,1.64325,1.64631,0.038679998,1.55802,1.49079,1.4378999,1.5247101,0.053,0.502,0.249,0.0092399996,0.3499,0.4798,1128.3591967562609,564.3146619409966,563.9106796927267
716,"c(-117.5464, 33.858505)",92881,6513.0,6,6065041809.0,60985009532,1.45467,1.41636,0.041839998,1.3030601,1.2455699,1.1061701,1.29638,0.037,0.531,0.298,0.0092399996,0.2203,0.5454,1084.3008925578229,534.5754931835892,542.1723756150795
717,"c(-117.568308, 33.953617)",92880,6514.0,6,6065040613.0,60985011709,1.44524,1.41386,0.03458,1.3434401,1.2522,1.2690099,1.34241,0.038,0.414,0.394,0.0047800001,0.3593,0.7534,1097.5129413660006,531.6481163387435,546.5952514816122
718,"c(-117.178279, 32.692086)",92118,7310.0,6,6073010800.0,60987001071,1.79749,1.6962,0.070469998,1.67171,1.6802,1.65712,1.6912301,0.014,0.831,0.07,0.020919999,0.6272,0.1485,1196.2596230819977,591.7204742640962,603.3087579331263
719,"c(-122.684241, 38.340502)",94928,9702.0,6,6097151310.0,60994001081,1.3624099,1.31048,0.054310001,1.19601,1.14958,1.123,1.1651599,0.015,0.794,0.088,0.01166,0.2808,0.3059,1061.739962774038,522.7094401447592,538.3204779106964
720,"c(-117.899678, 34.081642)",91722,3713.0,6,6037406000.0,61005001093,1.42202,1.11654,0.028030001,1.01363,1.12968,1.10695,1.0601799,0.033,0.323,0.263,0.0049100001,0.2033,0.7011,1020.3647026715237,507.88314953945155,509.2807737603665
721,"c(-117.911079, 34.094364)",91722,3713.0,6,6037405702.0,61005001102,1.26264,1.05475,0.022849999,0.97482997,0.99959999,0.97782999,0.98405999,0.033,0.323,0.263,0.0049100001,0.3062,0.8121,1000.3334021283623,503.2128321759644,505.29454950934576
722,"c(-117.88266, 34.062072)",91791,3713.0,6,6037406300.0,61005001105,1.55147,1.33893,0.045030002,1.2635601,1.33549,1.27618,1.27918,0.033,0.323,0.263,0.0088200001,0.4682,0.7636,1102.4110792602894,536.4757947993334,549.4091766641204
723,"c(-118.4024, 34.0066)",90230,3748.0,6,6037702700.0,61026001116,1.67592,1.30391,0.056499999,1.18257,1.46845,1.41917,1.1768301,0.087,0.626,0.107,0.01006,0.548,0.4224,1118.7865465091857,549.8889561847797,557.732550657061
724,"c(-119.2873, 36.5483)",93647,10703.0,6,6107000201.0,61035001159,0.65085,0.57459998,0.02774,0.40529999,0.39247,0.39675999,0.46213999,0.003,0.48,0.465,0.00392,0.0511,0.9662,937.9545839480901,479.1761154260131,471.2272751932896
725,"c(-121.7509, 38.5563)",95616,11300.0,6,6113010701.0,61062001176,1.789,1.66151,0.074429996,1.57143,1.6162699,1.45675,1.5403301,0.014,0.629,0.153,0.038740002,0.7246,0.3165,1244.21909213697,610.1564208469351,619.1341299759421
726,"c(-124.2092, 41.7699)",95531,1500.0,6,6015000105.0,61077001193,0.99102002,0.83836001,0.044160001,0.75018001,0.69902003,0.67175001,0.73474002,0.01,0.829,0.041,0.022120001,0.1664,0.2678,1008.4427069354005,498.73880047971915,511.71726577057956
727,"c(-119.239686, 35.777379)",93215,2901.0,6,6029004902.0,61086001206,1.0256,0.70216,0.018959999,0.56260002,0.62093002,0.56009001,0.50112998,0.026,0.475,0.407,0.0034700001,0.1075,0.9589,970.6973869206888,495.52606839540397,473.4575937204055
728,"c(-119.22116, 35.767925)",93215,2901.0,6,6029004604.0,61086011206,1.07991,0.76019001,0.02753,0.64725,0.76284999,0.76072001,0.66080999,0.026,0.475,0.407,0.0034700001,0.0789,0.9216,969.3934248672259,490.19712162208214,481.7001672620328
729,"c(-120.804287, 37.523941)",95316,9903.0,6,6099003604.0,61104001218,1.24672,1.2313499,0.047839999,1.15223,1.00517,0.99902999,1.20907,0.011,0.696,0.221,0.01151,0.2703,0.3482,1049.5675490017939,518.0126343709859,527.4749426344789
